State Name,County Name,City Name,Date Local,AQI,PM2.5,County Code,Site Num,Latitude,Longitude,Local Site Name,Address,fips
California,Alameda,Livermore,2022-02-14,51.0,9.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-15,11.0,2.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-16,11.0,1.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-17,29.0,5.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-18,55.0,11.3,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-24,27.0,4.8,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-25,49.0,8.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-26,55.0,11.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-27,60.0,13.7,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-02-28,52.0,9.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-01,36.0,6.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-02,31.0,5.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-03,36.0,6.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-04,47.0,8.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-05,23.0,4.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-06,32.0,5.7,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-07,33.0,6.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-08,24.0,4.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-09,42.0,7.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-10,22.0,4.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-11,29.0,5.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-12,27.0,4.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-13,38.0,6.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-14,39.0,7.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-15,23.0,4.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-16,34.0,6.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-17,41.0,7.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-18,28.0,5.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-19,21.0,3.8,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-20,28.0,5.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-21,42.0,7.6,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-22,16.0,2.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-23,33.0,6.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-24,36.0,6.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-25,29.0,5.3,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-26,19.0,3.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-27,15.0,2.7,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-28,14.0,2.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-29,25.0,4.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-30,33.0,6.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-03-31,40.0,7.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-01,45.0,8.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-02,44.0,7.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-03,44.0,8.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-04,38.0,6.8,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-05,34.0,6.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-06,27.0,4.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-07,52.0,9.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-08,55.0,11.3,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-09,54.0,10.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-10,23.0,4.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-11,28.0,5.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-12,26.0,4.7,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-13,23.0,4.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-14,25.0,4.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-15,15.0,2.7,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-16,22.0,3.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-17,26.0,4.7,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-04-18,19.0,3.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-04,30.0,5.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-05,33.0,6.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-06,20.0,3.6,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-07,32.0,5.8,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-08,29.0,5.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-11,21.0,3.8,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-12,14.0,2.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-13,27.0,4.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-14,26.0,4.6,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-15,30.0,5.4,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-16,18.0,3.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-17,47.0,8.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-18,51.0,9.2,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-19,54.0,10.5,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-20,44.0,7.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-21,39.0,7.0,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-22,54.0,10.9,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
California,Alameda,Livermore,2022-05-23,53.0,10.1,1,7,37.687526,-121.784217,Livermore,793 Rincon Ave.,06001
